,Data Science Certification,IDSE (master),Statistics (master),Others
R,0.591,0.821,0.882,0.803
Excel,0.864,0.661,0.529,0.553
SQL,0.591,0.554,0.176,0.437
RStudio,0.545,0.804,0.882,0.72
ggplot2,0.136,0.268,0.353,0.422
Python,0.727,0.893,0.353,0.856
Stata,0.136,0.143,0.118,0.308
dropbox,0.636,0.607,0.412,0.702
google drive (formerly docs),0.818,0.732,0.412,0.604
regular expressions (grep),0.227,0.125,0.0,0.434
Github,0.409,0.375,0.294,0.548
shell (terminal / command line),0.5,0.393,0.0,0.684
LaTeX,0.091,0.375,0.235,0.391
Sweave/knitr,0.045,0.071,0.0,0.141
XML,0.227,0.125,0.059,0.056
Web: html css js,0.273,0.25,0.059,0.169
C/C++,0.182,0.339,0.353,0.379
Matlab,0.182,0.375,0.412,0.215
SPSS,0.0,0.143,0.176,0.086
lattice,0.0,0.018,0.0,0.071
