,Are you on the waiting list?,Program,"Programming and Analytical Experiences [R, data manipulation and modeling]",What code/text editor do you use most?,"Programming and Analytical Experiences [R, graphic basics (base, lattice, grid etc. )]","Programming and Analytical Experiences [R, advanced (multivariate data analysis, e.g. spatiotemporal data, visualization and modeling)]",Programming and Analytical Experiences [Reproducible documentation with R (e.g. R Markdown)],"Programming and Analytical Experiences [Matlab, data manipulation, analysis, visualization and modeling]",Programming and Analytical Experiences [Github],R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs), regular expressions (grep), Github, shell (terminal / command line), LaTeX, Sweave/knitr, XML, Web: html css js,Excel, C/C++,Matlab, R, SPSS, lattice,RStudio,Github,SQL,shell (terminal / command line),Python
0,False,IDSE (master),2,RStudio,2,1,1,1,0,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,False,Other masters,2,RStudio,1,1,1,1,1,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,False,Data Science Certification,3,Atom,2,2,3,2,2,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
3,False,IDSE (master),0,Sublime Text,0,0,0,0,0,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
4,False,IDSE (master),2,TextWrangler,2,2,1,0,0,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,False,IDSE (master),1,Sublime Text,0,0,1,1,1,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
6,True,Statistics (master),2,RStudio,2,1,0,2,2,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
7,False,QMSS (master),1,haven't used any,0,1,1,1,0,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
8,False,IDSE (master),0,Stata,0,0,0,0,0,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
9,False,IDSE (master),2,RStudio,1,0,2,0,1,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10,False,IDSE (master),2,RStudio,1,0,2,1,0,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,False,IDSE (master),2,RStudio,2,2,2,2,0,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12,False,IDSE (master),3,RStudio,2,3,2,2,2,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
13,True,Statistics (master),3,RStudio,2,2,1,0,3,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,True,Statistics (master),2,RStudio,0,1,0,1,1,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,False,QMSS (master),2,RStudio,2,1,3,1,1,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False
16,False,Other masters,2,RStudio,2,1,2,1,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
17,False,IDSE (master),2,RStudio,1,1,2,1,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
18,False,Statistics (master),2,RStudio,1,1,0,0,0,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,False,IDSE (master),1,RStudio,2,1,2,0,0,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,False,IDSE (master),3,RStudio,2,2,3,2,2,False,True,True,True,True,True,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False
21,False,IDSE (master),2,RStudio,2,1,1,1,1,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False
22,False,IDSE (master),2,ipynb,2,2,2,1,2,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
23,True,Statistics (master),1,RStudio,1,2,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
24,False,IDSE (master),2,RStudio,1,1,0,1,0,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,True,Statistics (master),2,RStudio,1,1,2,0,0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
26,False,IDSE (master),2,notepad++,2,1,1,1,2,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
27,False,IDSE (master),2,RStudio,1,1,2,1,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
28,True,Statistics (master),2,RStudio,1,1,0,1,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False
